MES,ANIO,TEMP_PROM,NIEVE_TOT
enero,2023,26.17096774193548,0.0
febrero,2023,24.860714285714288,0.0
marzo,2023,23.258064516129032,0.0
abril,2023,18.040000000000003,0.0
mayo,2023,14.27741935483871,0.0
junio,2023,9.953333333333335,0.0
julio,2023,10.125806451612902,0.0
agosto,2023,12.600000000000001,0.0
septiembre,2023,14.803333333333335,0.0
octubre,2023,18.76451612903226,0.0
noviembre,2023,22.196666666666665,0.0
diciembre,2023,24.68064516129032,0.0
enero,2024,26.812903225806455,0.0
febrero,2024,26.00689655172414,0.0
marzo,2024,23.35483870967742,0.0
abril,2024,16.61,0.0
mayo,2024,8.729032258064517,1.0
junio,2024,10.446666666666665,0.0
julio,2024,7.883870967741935,0.0
agosto,2024,10.112903225806452,2.0
septiembre,2024,17.246666666666666,0.0
octubre,2024,19.764516129032256,2.0
noviembre,2024,22.796666666666667,0.0
diciembre,2024,24.741935483870968,0.0
